Porter,Original,Lancaster,Snowball
abridg,"['abridged', 'abridgment']","['abridg', 'abridg']","['abridg', 'abridg']"
abroad,"['abroad', 'abroade']","['abroad', 'abroad']","['abroad', 'abroad']"
abrog,['abrogated'],['abrog'],['abrog']
abrupt,"['abruptness', 'abrupt']","['abrupt', 'abrupt']","['abrupt', 'abrupt']"
abruptli,['abruptly'],['abrupt'],['abrupt']
abscess,['abscesses'],['abscess'],['abscess']
abscissa,['abscissa'],['absciss'],['abscissa']
absenc,"['absence', 'absences']","['abs', 'abs']","['absenc', 'absenc']"
absent,"['absented', 'absent', 'absently']","['abs', 'abs', 'abs']","['absent', 'absent', 'absent']"
absente,"['absentee', 'absenteeism']","['abs', 'abs']","['absente', 'absente']"
absentia,['absentia'],['absent'],['absentia']
absentmindedli,['absentmindedly'],['absentmind'],['absentmind']
absinth,['absinthe'],['absinth'],['absinth']
absolut,"['absolute', 'absolution', 'absolutes', 'absoluteness', 'absolutely']","['absolv', 'absolv', 'absolv', 'absolv', 'absolv']","['absolut', 'absolut', 'absolut', 'absolut', 'absolut']"
absorb,"['absorb', 'absorbed', 'absorbing', 'absorber', 'absorbs', 'absorbent', 'absorbency']","['absorb', 'absorb', 'absorb', 'absorb', 'absorb', 'absorb', 'absorb']","['absorb', 'absorb', 'absorb', 'absorb', 'absorb', 'absorb', 'absorb']"
absorpt,"['absorptive', 'absorption', 'absorptions']","['absorb', 'absorb', 'absorb']","['absorpt', 'absorpt', 'absorpt']"
abstain,"['abstaining', 'abstain']","['abstain', 'abstain']","['abstain', 'abstain']"
abstent,['abstention'],['abst'],['abstent']
abstin,['abstinence'],['abstin'],['abstin']
abstract,"['abstracted', 'abstractive', 'abstracting', 'abstraction', 'abstractions', 'abstracts', 'abstract']","['abstract', 'abstract', 'abstract', 'abstract', 'abstract', 'abstract', 'abstract']","['abstract', 'abstract', 'abstract', 'abstract', 'abstract', 'abstract', 'abstract']"
abstracted,['abstractedness'],['abstract'],['abstracted']
abstraction,['abstractionism'],['abstract'],['abstraction']
abstractionist,['abstractionists'],['abstract'],['abstractionist']
abstractli,['abstractly'],['abstract'],['abstract']
abstractor,['abstractors'],['abstract'],['abstractor']
abstrus,['abstrusenesses'],['abstrus'],['abstrus']
absurd,"['absurd', 'absurdities', 'absurdity']","['absurd', 'absurd', 'absurd']","['absurd', 'absurd', 'absurd']"
absurdli,['absurdly'],['absurd'],['absurd']
abund,"['abundance', 'abundant']","['abund', 'abund']","['abund', 'abund']"
abundantli,['abundantly'],['abund'],['abund']
abus,"['abused', 'abuse', 'abusive', 'abuses']","['abus', 'abus', 'abud', 'abus']","['abus', 'abus', 'abus', 'abus']"
abut,['abutments'],['abut'],['abut']
abysm,['abysmal'],['abysm'],['abysm']
abyss,['abyss'],['abyss'],['abyss']
abyssinian,['abyssinians'],['abyssin'],['abyssinian']
ac,['acs'],['ac'],['ac']
acacia,['acacia'],['acac'],['acacia']
academ,"['academic', 'academics', 'academically']","['academ', 'academ', 'academ']","['academ', 'academ', 'academ']"
academeh,['academeh'],['academeh'],['academeh']
academi,"['academies', 'academy']","['academy', 'academy']","['academi', 'academi']"
academicianship,['academicianship'],['academ'],['academicianship']
acadia,['acadia'],['acad'],['acadia']
acala,['acala'],['acal'],['acala']
acapulco,['acapulco'],['acapulco'],['acapulco']
accacia,['accacia'],['accac'],['accacia']
accademia,['accademia'],['accadem'],['accademia']
accardo,['accardo'],['accardo'],['accardo']
acced,"['acceded', 'accede']","['acc', 'acc']","['acced', 'acced']"
acceler,"['accelerated', 'accelerate', 'accelerating', 'acceleration', 'accelerator', 'accelerations', 'accelerators']","['accel', 'accel', 'accel', 'accel', 'accel', 'accel', 'accel']","['acceler', 'acceler', 'acceler', 'acceler', 'acceler', 'acceler', 'acceler']"
acceleromet,"['accelerometer', 'accelerometers']","['acceleromet', 'acceleromet']","['acceleromet', 'acceleromet']"
accent,"['accented', 'accenting', 'accents', 'accent']","['acc', 'acc', 'acc', 'acc']","['accent', 'accent', 'accent', 'accent']"
accentu,"['accentuated', 'accentuate', 'accentual', 'accentuates']","['accentu', 'accentu', 'acc', 'accentu']","['accentu', 'accentu', 'accentu', 'accentu']"
accept,"['accepted', 'acceptance', 'acceptable', 'accepting', 'accepts', 'accept', 'acceptability']","['acceiv', 'acceiv', 'acceiv', 'acceiv', 'acceiv', 'acceiv', 'acceiv']","['accept', 'accept', 'accept', 'accept', 'accept', 'accept', 'accept']"
access,"['accessible', 'accesses', 'accessions', 'access', 'accessibility']","['access', 'access', 'access', 'access', 'access']","['access', 'access', 'access', 'access', 'access']"
accessori,"['accessories', 'accessory']","['access', 'access']","['accessori', 'accessori']"
accid,"['accidents', 'accident']","['accid', 'accid']","['accid', 'accid']"
accident,"['accidental', 'accidentally']","['accid', 'accid']","['accident', 'accident']"
acclaim,"['acclaimed', 'acclaim', 'acclaims']","['acclaim', 'acclaim', 'acclaim']","['acclaim', 'acclaim', 'acclaim']"
acclam,['acclamation'],['acclam'],['acclam']
acclimat,['acclimatized'],['acclim'],['acclimat']
accolad,"['accolade', 'accolades']","['accolad', 'accolad']","['accolad', 'accolad']"
accommod,"['accommodated', 'accommodate', 'accommodating', 'accommodation', 'accommodates', 'accommodations']","['accommod', 'accommod', 'accommod', 'accommod', 'accommod', 'accommod']","['accommod', 'accommod', 'accommod', 'accommod', 'accommod', 'accommod']"
accomod,['accomodations'],['accomod'],['accomod']
accompani,"['accompanied', 'accompanying', 'accompanies', 'accompaniments', 'accompaniment', 'accompany']","['accompany', 'accompany', 'accompany', 'accompany', 'accompany', 'accompany']","['accompani', 'accompani', 'accompani', 'accompani', 'accompani', 'accompani']"
accompanist,"['accompanists', 'accompanist']","['accomp', 'accomp']","['accompanist', 'accompanist']"
accomplic,"['accomplice', 'accomplices']","['accompl', 'accompl']","['accomplic', 'accomplic']"
accomplish,"['accomplished', 'accomplishing', 'accomplish', 'accomplishes', 'accomplishments', 'accomplishment']","['accompl', 'accompl', 'accompl', 'accompl', 'accompl', 'accompl']","['accomplish', 'accomplish', 'accomplish', 'accomplish', 'accomplish', 'accomplish']"
accord,"['accorded', 'accord', 'accordance', 'according', 'accords']","['accord', 'accord', 'accord', 'accord', 'accord']","['accord', 'accord', 'accord', 'accord', 'accord']"
accordingli,['accordingly'],['accord'],['accord']
accordion,['accordion'],['accord'],['accordion']
accost,"['accosted', 'accosting']","['accost', 'accost']","['accost', 'accost']"
account,"['accounted', 'accountable', 'accounting', 'accountants', 'accounts', 'accountant', 'account', 'accountability']","['account', 'account', 'account', 'account', 'account', 'account', 'account', 'account']","['account', 'account', 'account', 'account', 'account', 'account', 'account', 'account']"
accouter,['accouterments'],['accout'],['accouter']
accredit,"['accredited', 'accreditation']","['accredit', 'accredit']","['accredit', 'accredit']"
accret,"['accretion', 'accretions']","['accret', 'accret']","['accret', 'accret']"
accru,"['accrued', 'accruing', 'accrues']","['accru', 'accru', 'accru']","['accru', 'accru', 'accru']"
accultur,"['acculturated', 'acculturation']","['accult', 'accult']","['accultur', 'accultur']"
accumul,"['accumulated', 'accumulate', 'accumulating', 'accumulation', 'accumulates']","['accum', 'accum', 'accum', 'accum', 'accum']","['accumul', 'accumul', 'accumul', 'accumul', 'accumul']"
accur,"['accurate', 'accurately']","['acc', 'acc']","['accur', 'accur']"
accuraci,['accuracy'],['acc'],['accuraci']
accus,"['accused', 'accuse', 'accusing', 'accusation', 'accuses', 'accusations']","['accus', 'accus', 'accus', 'accus', 'accus', 'accus']","['accus', 'accus', 'accus', 'accus', 'accus', 'accus']"
accusingli,['accusingly'],['accus'],['accus']
accustom,['accustomed'],['accustom'],['accustom']
ace,"['ace', 'aces']","['ac', 'ac']","['ace', 'ace']"
acet,['acetate'],['acet'],['acet']
aceton,['acetone'],['aceton'],['aceton']
acetonemia,['acetonemia'],['acetonem'],['acetonemia']
acey,['acey'],['acey'],['acey']
ach,"['ached', 'ache', 'aching', 'aches']","['ach', 'ach', 'ach', 'ach']","['ach', 'ach', 'ach', 'ach']"
achaean,['achaeans'],['acha'],['achaean']
acheson,"['acheson', 'achesons']","['acheson', 'acheson']","['acheson', 'acheson']"
achiev,"['achieved', 'achieve', 'achieving', 'achieves', 'achievers', 'achievements', 'achievement']","['achiev', 'achiev', 'achiev', 'achiev', 'achiev', 'achiev', 'achiev']","['achiev', 'achiev', 'achiev', 'achiev', 'achiev', 'achiev', 'achiev']"
achil,['achilles'],['achil'],['achill']
acid,"['acid', 'acids', 'acidity']","['acid', 'acid', 'acid']","['acid', 'acid', 'acid']"
acidul,['acidulous'],['acid'],['acidul']
ackerli,['ackerly'],['ack'],['acker']
acknowledg,"['acknowledged', 'acknowledge', 'acknowledging', 'acknowledges', 'acknowledgments', 'acknowledgement', 'acknowledgment']","['acknowledg', 'acknowledg', 'acknowledg', 'acknowledg', 'acknowledg', 'acknowledg', 'acknowledg']","['acknowledg', 'acknowledg', 'acknowledg', 'acknowledg', 'acknowledg', 'acknowledg', 'acknowledg']"
acolyt,['acolyte'],['acolyt'],['acolyt']
acont,['aconte'],['acont'],['acont']
acorn,['acorns'],['acorn'],['acorn']
acours,['acourse'],['acours'],['acours']
acoust,"['acoustic', 'acoustical', 'acoustics', 'acoustically']","['acoust', 'acoust', 'acoust', 'acoust']","['acoust', 'acoust', 'acoust', 'acoust']"
acquaint,"['acquainted', 'acquaintance', 'acquaint']","['acquaint', 'acquaint', 'acquaint']","['acquaint', 'acquaint', 'acquaint']"
acquies,['acquiesence'],['acquy'],['acquies']
acquiesc,"['acquiesced', 'acquiescence', 'acquiesce']","['acquiesc', 'acquiesc', 'acquiesc']","['acquiesc', 'acquiesc', 'acquiesc']"
acquir,"['acquired', 'acquire', 'acquiring', 'acquires']","['acquir', 'acquir', 'acquir', 'acquir']","['acquir', 'acquir', 'acquir', 'acquir']"
acquisit,"['acquisition', 'acquisitions', 'acquisitiveness']","['acquisit', 'acquisit', 'acquisit']","['acquisit', 'acquisit', 'acquisit']"
acquit,['acquitted'],['acquit'],['acquit']
acquitt,['acquittal'],['acquit'],['acquitt']
acr,"['acre', 'acres']","['acr', 'acr']","['acr', 'acr']"
acreag,['acreage'],['acr'],['acreag']
acrid,['acrid'],['acrid'],['acrid']
acrobaci,['acrobacy'],['acrob'],['acrobaci']
acrobat,"['acrobatic', 'acrobatics', 'acrobats']","['acrob', 'acrob', 'acrob']","['acrobat', 'acrobat', 'acrobat']"
acropoli,['acropolis'],['acropol'],['acropoli']
across,['across'],['across'],['across']
acryl,['acrylic'],['acryl'],['acryl']
act,"['acted', 'acting', 'acts', 'act']","['act', 'act', 'act', 'act']","['act', 'act', 'act', 'act']"
acth,['acth'],['ac'],['acth']
actinomet,['actinometer'],['actinomet'],['actinomet']
action,"['action', 'actions']","['act', 'act']","['action', 'action']"
activ,"['activated', 'activate', 'active', 'activating', 'activism', 'activation', 'activities', 'actives', 'actively', 'activity']","['act', 'act', 'act', 'act', 'act', 'act', 'act', 'act', 'act', 'act']","['activ', 'activ', 'activ', 'activ', 'activ', 'activ', 'activ', 'activ', 'activ', 'activ']"
actor,"['actor', 'actors']","['act', 'act']","['actor', 'actor']"
actress,"['actresses', 'actress']","['actress', 'actress']","['actress', 'actress']"
actual,"['actual', 'actualities', 'actually', 'actuality']","['act', 'act', 'act', 'act']","['actual', 'actual', 'actual', 'actual']"
actuari,"['actuarial', 'actuarially']","['actu', 'actu']","['actuari', 'actuari']"
actuat,"['actuated', 'actuate']","['actu', 'actu']","['actuat', 'actuat']"
acumen,['acumen'],['acum'],['acumen']
acut,"['acute', 'acutely']","['acut', 'acut']","['acut', 'acut']"
ad,"['ad', 'added', 'adding', 'ads']","['ad', 'ad', 'ad', 'ad']","['ad', 'ad', 'ad', 'ad']"
ada,"['ada', 'adas']","['ad', 'ada']","['ada', 'ada']"
adag,['adage'],['ad'],['adag']
adagio,"['adagio', 'adagios']","['adagio', 'adagio']","['adagio', 'adagio']"
adair,"['adair', 'adairs']","['adair', 'adair']","['adair', 'adair']"
adam,"['adame', 'adam', 'adams', 'adamant']","['adam', 'adam', 'adam', 'adam']","['adam', 'adam', 'adam', 'adam']"
adamantli,['adamantly'],['adam'],['adam']
adamo,['adamo'],['adamo'],['adamo']
adamson,['adamson'],['adamson'],['adamson']
adamss,['adamss'],['adamss'],['adamss']
adapt,"['adapted', 'adaptable', 'adaptive', 'adapting', 'adaptation', 'adapter', 'adaptations', 'adapters', 'adapt']","['adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt']","['adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt', 'adapt']"
adaptaplex,['adaptaplex'],['adaptaplex'],['adaptaplex']
adc,['adc'],['adc'],['adc']
adcock,['adcock'],['adcock'],['adcock']
add,"['add', 'adds']","['ad', 'ad']","['add', 'add']"
addabbo,['addabbo'],['addabbo'],['addabbo']
addict,"['addicted', 'addiction', 'addicts', 'addict']","['addict', 'addict', 'addict', 'addict']","['addict', 'addict', 'addict', 'addict']"
addison,['addison'],['addison'],['addison']
addit,"['additive', 'additional', 'addition', 'additives', 'additions', 'additionally']","['addit', 'addit', 'addit', 'addit', 'addit', 'addit']","['addit', 'addit', 'addit', 'addit', 'addit', 'addit']"
addl,['addle'],['addl'],['addl']
address,"['addressed', 'addressing', 'addresses', 'address']","['address', 'address', 'address', 'address']","['address', 'address', 'address', 'address']"
addresse,['addressees'],['address'],['addresse']
adduc,['adduce'],['adduc'],['adduc']
ade,['ade'],['ad'],['ade']
adel,['adele'],['adel'],['adel']
adelia,['adelia'],['adel'],['adelia']
adelo,['adelos'],['adelo'],['adelo']
adenau,"['adenauer', 'adenauers']","['adenau', 'adenau']","['adenau', 'adenau']"
adenoma,['adenomas'],['adenoma'],['adenoma']
adept,['adept'],['adept'],['adept']
adequ,"['adequate', 'adequately']","['adequ', 'adequ']","['adequ', 'adequ']"
adequaci,['adequacy'],['adequ'],['adequaci']
aderhold,['aderholds'],['aderhold'],['aderhold']
adher,"['adhered', 'adherence', 'adhere', 'adheres', 'adherents', 'adherent']","['adh', 'adh', 'adh', 'adh', 'adh', 'adh']","['adher', 'adher', 'adher', 'adher', 'adher', 'adher']"
adhes,"['adhesive', 'adhesion', 'adhesives']","['adher', 'adher', 'adher']","['adhes', 'adhes', 'adhes']"
adieu,['adieu'],['adieu'],['adieu']
adio,['adios'],['adio'],['adio']
adip,['adipic'],['adip'],['adip']
adirondack,"['adirondack', 'adirondacks']","['adirondack', 'adirondack']","['adirondack', 'adirondack']"
adjac,['adjacent'],['adjac'],['adjac']
adject,"['adjective', 'adjectives']","['adject', 'adject']","['adject', 'adject']"
adjectiv,['adjectival'],['adject'],['adjectiv']
adjoin,"['adjoined', 'adjoining', 'adjoins']","['adjoin', 'adjoin', 'adjoin']","['adjoin', 'adjoin', 'adjoin']"
adjourn,"['adjourned', 'adjourning', 'adjourns', 'adjournment']","['adjourn', 'adjourn', 'adjourn', 'adjourn']","['adjourn', 'adjourn', 'adjourn', 'adjourn']"
adjud,"['adjudicate', 'adjudication']","['adjud', 'adjud']","['adjud', 'adjud']"
adjudg,"['adjudged', 'adjudging']","['adjudg', 'adjudg']","['adjudg', 'adjudg']"
adjunct,"['adjuncts', 'adjunct']","['adjunct', 'adjunct']","['adjunct', 'adjunct']"
adjust,"['adjusted', 'adjustable', 'adjusting', 'adjustments', 'adjusts', 'adjustment', 'adjust']","['adjust', 'adjust', 'adjust', 'adjust', 'adjust', 'adjust', 'adjust']","['adjust', 'adjust', 'adjust', 'adjust', 'adjust', 'adjust', 'adjust']"
adlai,['adlai'],['adla'],['adlai']
adler,['adler'],['adl'],['adler']
admassi,"['admassys', 'admassy']","['admassy', 'admassy']","['admassi', 'admassi']"
administ,"['administered', 'administering', 'administer', 'administers']","['admin', 'admin', 'admin', 'admin']","['administ', 'administ', 'administ', 'administ']"
administr,"['administrative', 'administration', 'administrator', 'administrations', 'administrators', 'administratively']","['admin', 'admin', 'admin', 'admin', 'admin', 'admin']","['administr', 'administr', 'administr', 'administr', 'administr', 'administr']"
adminstr,['adminstration'],['adminst'],['adminstr']
admir,"['admired', 'admirable', 'admire', 'admiring', 'admiration', 'admirer', 'admires', 'admirals', 'admirers', 'admirably']","['admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir']","['admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir', 'admir']"
admiralti,['admiralty'],['admiral'],['admiralti']
admiringli,['admiringly'],['admir'],['admir']
admiss,"['admissible', 'admission', 'admissions']","['admiss', 'admit', 'admit']","['admiss', 'admiss', 'admiss']"
admit,"['admitted', 'admitting', 'admits', 'admit']","['admit', 'admit', 'admit', 'admit']","['admit', 'admit', 'admit', 'admit']"
admitt,['admittance'],['admit'],['admitt']
admittedli,['admittedly'],['admit'],['admit']
admix,['admixed'],['admix'],['admix']
admonish,"['admonished', 'admonishing', 'admonishments']","['admon', 'admon', 'admon']","['admonish', 'admonish', 'admonish']"
admonit,"['admonition', 'admonitions']","['admonit', 'admonit']","['admonit', 'admonit']"
adnan,['adnan'],['adn'],['adnan']
ado,['ado'],['ado'],['ado']
adob,['adobe'],['adob'],['adob']
adolesc,"['adolescence', 'adolescents', 'adolescent']","['adolesc', 'adolesc', 'adolesc']","['adolesc', 'adolesc', 'adolesc']"
adolf,['adolf'],['adolf'],['adolf']
adolphu,['adolphus'],['adolph'],['adolphus']
adoni,['adonis'],['adon'],['adoni']
adoniram,['adoniram'],['adoniram'],['adoniram']
adopt,"['adopted', 'adopting', 'adoption', 'adopts', 'adopt']","['adopt', 'adopt', 'adopt', 'adopt', 'adopt']","['adopt', 'adopt', 'adopt', 'adopt', 'adopt']"
ador,"['adored', 'adorable', 'adore', 'adores']","['ad', 'ad', 'ad', 'ad']","['ador', 'ador', 'ador', 'ador']"
adorn,"['adorned', 'adorn', 'adorns']","['adorn', 'adorn', 'adorn']","['adorn', 'adorn', 'adorn']"
adrar,['adrar'],['adr'],['adrar']
adren,['adrenal'],['adr'],['adren']
adrian,['adrian'],['adr'],['adrian']
adrianopl,['adrianople'],['adrianopl'],['adrianopl']
adriat,['adriatic'],['adry'],['adriat']
adrien,['adrien'],['adry'],['adrien']
adrift,['adrift'],['adrift'],['adrift']
adroit,"['adroitness', 'adroit']","['adroit', 'adroit']","['adroit', 'adroit']"
adsorb,"['adsorbed', 'adsorbs']","['adsorb', 'adsorb']","['adsorb', 'adsorb']"
adul,['adulation'],['ad'],['adul']
adult,"['adults', 'adult']","['adult', 'adult']","['adult', 'adult']"
adulter,"['adulterated', 'adulterers', 'adulterous']","['adult', 'adult', 'adult']","['adulter', 'adulter', 'adulter']"
adulteri,['adultery'],['adultery'],['adulteri']
adulthood,['adulthood'],['adult'],['adulthood']
advanc,"['advanced', 'advance', 'advancing', 'advances', 'advancements', 'advancement']","['adv', 'adv', 'adv', 'adv', 'adv', 'adv']","['advanc', 'advanc', 'advanc', 'advanc', 'advanc', 'advanc']"
advantag,"['advantage', 'advantages', 'advantageous', 'advantageously']","['adv', 'adv', 'adv', 'adv']","['advantag', 'advantag', 'advantag', 'advantag']"
advent,['advent'],['adv'],['advent']
adventist,['adventists'],['adv'],['adventist']
adventiti,['adventitious'],['adv'],['adventiti']
adventur,"['adventure', 'adventuring', 'adventures', 'adventurers', 'adventurous']","['adv', 'adv', 'adv', 'adv', 'adv']","['adventur', 'adventur', 'adventur', 'adventur', 'adventur']"
adverb,"['adverb', 'adverbs']","['adverb', 'adverb']","['adverb', 'adverb']"
adverbi,['adverbial'],['adverb'],['adverbi']
advers,"['adverse', 'adversely', 'adversity']","['advers', 'advers', 'advers']","['advers', 'advers', 'advers']"
adversari,"['adversaries', 'adversary']","['advers', 'advers']","['adversari', 'adversari']"
advertis,"['advertised', 'advertise', 'advertising', 'advertiser', 'advertises', 'advertisers', 'advertisements', 'advertisement']","['advert', 'advert', 'advert', 'advert', 'advert', 'advert', 'advert', 'advert']","['advertis', 'advertis', 'advertis', 'advertis', 'advertis', 'advertis', 'advertis', 'advertis']"
advic,['advice'],['adv'],['advic']
advis,"['advised', 'advisable', 'advise', 'advising', 'adviser', 'advises', 'advisers', 'advisement', 'advisability']","['adv', 'adv', 'adv', 'adv', 'adv', 'adv', 'adv', 'adv', 'adv']","['advis', 'advis', 'advis', 'advis', 'advis', 'advis', 'advis', 'advis', 'advis']"
advisedli,['advisedly'],['adv'],['advis']
advisor,"['advisor', 'advisors']","['adv', 'adv']","['advisor', 'advisor']"
advisori,['advisory'],['adv'],['advisori']
advoc,"['advocated', 'advocate', 'advocating', 'advocates']","['advoc', 'advoc', 'advoc', 'advoc']","['advoc', 'advoc', 'advoc', 'advoc']"
advocaci,['advocacy'],['advoc'],['advocaci']
aec,"['aec', 'aecs']","['aec', 'aec']","['aec', 'aec']"
aegean,['aegean'],['aeg'],['aegean']
aegi,['aegis'],['aeg'],['aegi']
aeon,['aeon'],['aeon'],['aeon']
aerat,"['aerated', 'aerate', 'aeration', 'aerator', 'aerates']","['aer', 'aer', 'aer', 'aer', 'aer']","['aerat', 'aerat', 'aerat', 'aerat', 'aerat']"
aerial,"['aerial', 'aerials']","['aer', 'aer']","['aerial', 'aerial']"
aerob,['aerobic'],['aerob'],['aerob']
aerobact,['aerobacter'],['aerobact'],['aerobact']
aerodynam,['aerodynamic'],['aerodynam'],['aerodynam']
aerogen,['aerogenes'],['aerog'],['aerogen']
aeronaut,"['aeronautical', 'aeronautics']","['aeronaut', 'aeronaut']","['aeronaut', 'aeronaut']"
aerosol,"['aerosolized', 'aerosol', 'aerosols']","['aerosol', 'aerosol', 'aerosol']","['aerosol', 'aerosol', 'aerosol']"
aerospac,['aerospace'],['aerospac'],['aerospac']
aeschbach,"['aeschbacher', 'aeschbachers']","['aeschbach', 'aeschbach']","['aeschbach', 'aeschbach']"
aeschylu,['aeschylus'],['aeschyl'],['aeschylus']
aesthet,"['aesthetic', 'aesthetics', 'aesthetes']","['aesthet', 'aesthet', 'aesthet']","['aesthet', 'aesthet', 'aesthet']"
aeternitati,['aeternitatis'],['aeternit'],['aeternitati']
af,['af'],['af'],['af']
afar,['afar'],['af'],['afar']
affabl,['affable'],['aff'],['affabl']
affair,"['affaire', 'affair', 'affaires', 'affairs']","['affair', 'affair', 'affair', 'affair']","['affair', 'affair', 'affair', 'affair']"
affect,"['affected', 'affecting', 'affectation', 'affection', 'affections', 'affects', 'affect']","['affect', 'affect', 'affect', 'affect', 'affect', 'affect', 'affect']","['affect', 'affect', 'affect', 'affect', 'affect', 'affect', 'affect']"
affectingli,['affectingly'],['affect'],['affect']
affection,"['affectionate', 'affectionately']","['affect', 'affect']","['affection', 'affection']"
affer,['afferent'],['aff'],['affer']
affi,['affied'],['affy'],['affi']
affianc,['affianced'],['affy'],['affianc']
affidavit,['affidavits'],['affidavit'],['affidavit']
affili,"['affiliated', 'affiliation', 'affiliates', 'affiliations']","['affy', 'affy', 'affy', 'affy']","['affili', 'affili', 'affili', 'affili']"
affin,"['affinities', 'affinity']","['affin', 'affin']","['affin', 'affin']"
affirm,"['affirmed', 'affirmative', 'affirming', 'affirm', 'affirmation', 'affirms', 'affirmations', 'affirmatively']","['affirm', 'affirm', 'affirm', 'affirm', 'affirm', 'affirm', 'affirm', 'affirm']","['affirm', 'affirm', 'affirm', 'affirm', 'affirm', 'affirm', 'affirm', 'affirm']"
affix,"['affixed', 'affix']","['affix', 'affix']","['affix', 'affix']"
afflict,"['afflicted', 'affliction', 'afflictions']","['afflict', 'afflict', 'afflict']","['afflict', 'afflict', 'afflict']"
affluenc,['affluence'],['afflu'],['affluenc']
affluent,['affluent'],['afflu'],['affluent']
