Snowball,Original,Porter,Lancaster
agreeabl,['agreeably'],['agreeabl'],['agr']
ai,['ai'],['ai'],['ai']
aim,"['aiming', 'aims']","['aim', 'aim']","['aim', 'aim']"
ainsworth,['ainsworth'],['ainsworth'],['ainswor']
airfield,['airfields'],['airfield'],['airfield']
airfram,['airframe'],['airfram'],['airfram']
airport,"['airports', 'airport']","['airport', 'airport']","['airport', 'airport']"
akita,['akita'],['akita'],['akit']
aku,['aku'],['aku'],['aku']
alabast,['alabaster'],['alabast'],['alabast']
alarm,['alarmed'],['alarm'],['alarm']
alber,['albers'],['alber'],['alb']
alcott,['alcotts'],['alcott'],['alcot']
alexei,['alexei'],['alexei'],['alexe']
algebra,['algebraically'],['algebra'],['algebra']
alien,"['alien', 'aliens']","['alien', 'alien']","['aly', 'aly']"
alkylbenzenesulfon,['alkylbenzenesulfonates'],['alkylbenzenesulfon'],['alkylbenzenesulfon']
allegheni,['alleghenies'],['allegheni'],['allegheny']
allegori,['allegory'],['allegori'],['alleg']
allen,['allens'],['allen'],['al']
allevi,['alleviation'],['allevi'],['allevy']
alli,['allied'],['alli'],['al']
alloc,['allocated'],['alloc'],['alloc']
allow,['allow'],['allow'],['allow']
allso,['allso'],['allso'],['allso']
allus,['allusion'],['allus'],['allud']
almond,['almond'],['almond'],['almond']
along,['along'],['along'],['along']
aloof,['aloof'],['aloof'],['aloof']
alphabet,['alphabetical'],['alphabet'],['alphabet']
alpharetta,['alpharetta'],['alpharetta'],['alpharett']
altairian,['altairians'],['altairian'],['altair']
altitud,['altitude'],['altitud'],['altitud']
alva,['alva'],['alva'],['alv']
alwin,['alwin'],['alwin'],['alwin']
amateur,['amateur'],['amateur'],['am']
amaz,['amazing'],['amaz'],['amaz']
ambigu,['ambiguities'],['ambigu'],['ambigu']
ambiti,['ambitious'],['ambiti'],['amb']
ambulatori,['ambulatory'],['ambulatori'],['amb']
amend,['amendments'],['amend'],['amend']
ami,['amy'],['ami'],['amy']
amic,['amicable'],['amic'],['am']
ammonium,['ammonium'],['ammonium'],['ammon']
amor,['amorous'],['amor'],['am']
amorist,['amorist'],['amorist'],['am']
amorph,['amorphous'],['amorph'],['amorph']
amort,['amortization'],['amort'],['amort']
amput,['amputated'],['amput'],['amput']
amus,['amusedly'],['amusedli'],['amus']
anachron,"['anachronism', 'anachronisms']","['anachron', 'anachron']","['anachron', 'anachron']"
analog,['analogously'],['analog'],['analog']
analyt,['analytical'],['analyt'],['analys']
analyz,['analyzer'],['analyz'],['analys']
anarchi,['anarchy'],['anarchi'],['anarchy']
anastomosi,['anastomosis'],['anastomosi'],['anastomos']
anatom,['anatomical'],['anatom'],['anatom']
anchor,"['anchoring', 'anchors']","['anchor', 'anchor']","['anch', 'anch']"
ancillari,['ancillary'],['ancillari'],['ancil']
anderson,['anderson'],['anderson'],['anderson']
andrea,['andrea'],['andrea'],['andre']
anem,['anemated'],['anem'],['anem']
anew,['anew'],['anew'],['anew']
angelina,['angelina'],['angelina'],['angelin']
angelo,['angelo'],['angelo'],['angelo']
anglia,['anglia'],['anglia'],['angl']
anhydr,['anhydrously'],['anhydr'],['anhydr']
anim,"['animal', 'animation']","['anim', 'anim']","['anim', 'anim']"
anion,['anionic'],['anion'],['an']
anna,['anna'],['anna'],['ann']
announc,['announcers'],['announc'],['annount']
anorexia,['anorexia'],['anorexia'],['anorex']
anselmo,['anselmo'],['anselmo'],['anselmo']
antagonis,['antagonised'],['antagonis'],['antagon']
anteced,['antecedent'],['anteced'],['antec']
antenna,['antennae'],['antenna'],['antenna']
anthea,['anthea'],['anthea'],['anthe']
anthropologist,['anthropologists'],['anthropologist'],['anthropolog']
antic,['antics'],['antic'],['ant']
antigen,['antigen'],['antigen'],['antig']
anvil,['anvil'],['anvil'],['anvil']
anxious,['anxiously'],['anxious'],['anxy']
anybodi,['anybodys'],['anybodi'],['anybody']
anylabel,['anylabel'],['anylabel'],['anylabel']
anyway,['anyways'],['anyway'],['anyway']
anzilotti,['anzilotti'],['anzilotti'],['anzilott']
ap,['ap'],['ap'],['ap']
apolog,['apologized'],['apolog'],['apolog']
appar,['apparency'],['appar'],['app']
appeal,"['appealing', 'appeals']","['appeal', 'appeal']","['ap', 'ap']"
appear,"['appearance', 'appear', 'appearances']","['appear', 'appear', 'appear']","['appear', 'appear', 'appear']"
append,['appended'],['append'],['append']
applic,"['applicant', 'applicability']","['applic', 'applic']","['appl', 'appl']"
apprais,['appraisal'],['apprais'],['appra']
appreci,"['appreciative', 'appreciates']","['appreci', 'appreci']","['apprecy', 'apprecy']"
approach,['approached'],['approach'],['approach']
apt,['aptness'],['apt'],['apt']
aquam,['aquam'],['aquam'],['aquam']
arab,['arabs'],['arab'],['arab']
arabesqu,['arabesque'],['arabesqu'],['arabesqu']
arapaci,['arapacis'],['arapaci'],['arapac']
arbitr,['arbitrate'],['arbitr'],['arbit']
arbor,['arboreal'],['arbor'],['arb']
arbuckl,['arbuckle'],['arbuckl'],['arbuckl']
arch,['arched'],['arch'],['arch']
archaiz,['archaized'],['archaiz'],['archa']
archimed,['archimedes'],['archimed'],['archim']
ardmor,['ardmore'],['ardmor'],['ardm']
arduous,['arduous'],['arduou'],['ardu']
arena,['arena'],['arena'],['aren']
arent,['arent'],['arent'],['ar']
argu,['arguing'],['argu'],['argu']
ariadn,['ariadne'],['ariadn'],['ariadn']
aricara,['aricaras'],['aricara'],['aricara']
aristotelian,['aristotelian'],['aristotelian'],['aristotel']
arm,['arms'],['arm'],['arm']
armenian,['armenian'],['armenian'],['arm']
armistead,['armisteads'],['armistead'],['armistead']
armload,['armload'],['armload'],['armload']
arnolph,['arnolphe'],['arnolph'],['arnolph']
aromat,['aromatic'],['aromat'],['arom']
arrang,['arranges'],['arrang'],['arrang']
arrear,['arrears'],['arrear'],['arrear']
arrow,['arrows'],['arrow'],['arrow']
arsenal,['arsenal'],['arsen'],['ars']
arsid,['arside'],['arsid'],['arsid']
art,['artfully'],['art'],['art']
arteri,['arterys'],['arteri'],['artery']
arteriolosclerosi,['arteriolosclerosis'],['arteriolosclerosi'],['arterioloscleros']
articul,['articulation'],['articul'],['artic']
asbesto,['asbestos'],['asbesto'],['asbesto']
ascertain,['ascertain'],['ascertain'],['ascertain']
asham,['ashamed'],['asham'],['asham']
ashman,['ashman'],['ashman'],['ashm']
asian,['asian'],['asian'],['as']
ask,['asks'],['ask'],['ask']
ass,['asses'],['ass'],['ass']
assail,"['assailed', 'assailants', 'assailant']","['assail', 'assail', 'assail']","['assail', 'assail', 'assail']"
assassin,['assassination'],['assassin'],['assassin']
assault,['assaulting'],['assault'],['assault']
assent,['assent'],['assent'],['ass']
assert,"['asserted', 'assertions']","['assert', 'assert']","['assert', 'assert']"
asses,['assesment'],['asses'],['asses']
assign,['assigning'],['assign'],['assign']
assimil,['assimilated'],['assimil'],['assimil']
assort,['assortment'],['assort'],['assort']
assum,['assumed'],['assum'],['assum']
assur,['assures'],['assur'],['ass']
astart,['astarte'],['astart'],['astart']
asthma,['asthma'],['asthma'],['asthm']
astray,['astray'],['astray'],['astray']
astronomi,['astronomy'],['astronomi'],['astronom']
asymmetr,['asymmetrically'],['asymmetr'],['asymmet']
atheist,['atheistic'],['atheist'],['ath']
atlantica,['atlantica'],['atlantica'],['atlantic']
atmospher,"['atmosphere', 'atmospheres']","['atmospher', 'atmospher']","['atmosph', 'atmosph']"
atop,['atop'],['atop'],['atop']
atroph,['atrophic'],['atroph'],['atroph']
attend,"['attendance', 'attendant']","['attend', 'attend']","['attend', 'attend']"
attent,['attentively'],['attent'],['at']
attract,['attract'],['attract'],['attract']
attribut,['attributed'],['attribut'],['attribut']
attu,['attu'],['attu'],['attu']
atwel,['atwells'],['atwel'],['atwel']
auditor,['auditors'],['auditor'],['audit']
audivi,['audivi'],['audivi'],['audiv']
augen,['augen'],['augen'],['aug']
aurora,['aurora'],['aurora'],['auror']
auster,"['austere', 'austerity']","['auster', 'auster']","['aust', 'aust']"
austin,['austin'],['austin'],['austin']
austria,['austria'],['austria'],['austr']
authent,['authentications'],['authent'],['auth']
author,"['authorized', 'authorization']","['author', 'author']","['auth', 'auth']"
authorship,['authorship'],['authorship'],['auth']
autist,['autistic'],['autist'],['aut']
autonom,['autonomic'],['autonom'],['autonom']
autosuggest,['autosuggestibility'],['autosuggest'],['autosuggest']
avali,['avaliable'],['avali'],['avaly']
avert,['avert'],['avert'],['avert']
avi,['avis'],['avi'],['av']
aw,['awful'],['aw'],['aw']
await,['awaited'],['await'],['await']
awaken,['awakening'],['awaken'],['awak']
awash,['awash'],['awash'],['awash']
aye,['aye'],['aye'],['ay']
bach,['bach'],['bach'],['bach']
baci,['baci'],['baci'],['bac']
backpack,['backpack'],['backpack'],['backpack']
backstag,['backstage'],['backstag'],['backst']
baden,['baden'],['baden'],['bad']
badura,['badura'],['badura'],['badur']
bagh,['bagh'],['bagh'],['bagh']
bahia,['bahia'],['bahia'],['bah']
bailli,['bailly'],['bailli'],['bail']
baird,['baird'],['baird'],['baird']
baiter,['baiter'],['baiter'],['bait']
balagu,['balaguer'],['balagu'],['balagu']
balanc,['balances'],['balanc'],['bal']
balconi,['balcony'],['balconi'],['balcony']
balkan,['balkanize'],['balkan'],['balk']
ball,['balling'],['ball'],['bal']
ballard,['ballards'],['ballard'],['ballard']
balustrad,['balustrade'],['balustrad'],['balustrad']
banana,['bananas'],['banana'],['banana']
band,['banded'],['band'],['band']
bandag,['bandaging'],['bandag'],['band']
bandol,['bandoleers'],['bandol'],['bandol']
bandon,['bandon'],['bandon'],['bandon']
bandwagon,['bandwagon'],['bandwagon'],['bandwagon']
bang,"['banged', 'bangs']","['bang', 'bang']","['bang', 'bang']"
bank,['banked'],['bank'],['bank']
baptist,['baptists'],['baptist'],['bapt']
baptisteri,['baptistery'],['baptisteri'],['baptistery']
barber,['barber'],['barber'],['barb']
barco,['barcos'],['barco'],['barco']
barcus,['barcus'],['barcu'],['barc']
barefoot,['barefoot'],['barefoot'],['barefoot']
barg,['barges'],['barg'],['barg']
barkeep,['barkeep'],['barkeep'],['barkeep']
barl,['barl'],['barl'],['barl']
barnard,['barnard'],['barnard'],['barnard']
barnyard,['barnyard'],['barnyard'],['barnyard']
baron,['baron'],['baron'],['baron']
barr,['barre'],['barr'],['bar']
barrack,['barracks'],['barrack'],['barrack']
barrel,['barrel'],['barrel'],['barrel']
bartend,['bartender'],['bartend'],['bartend']
barth,['barth'],['barth'],['bar']
bartok,['bartok'],['bartok'],['bartok']
base,"['based', 'basing']","['base', 'base']","['bas', 'bas']"
baseman,['baseman'],['baseman'],['basem']
basil,['basils'],['basil'],['basil']
bask,['basking'],['bask'],['bask']
basler,['basler'],['basler'],['basl']
bast,['basting'],['bast'],['bast']
battalion,['battalions'],['battalion'],['bat']
batter,['batter'],['batter'],['bat']
battlefront,['battlefront'],['battlefront'],['battlefront']
bauhaus,['bauhaus'],['bauhau'],['bauha']
bavaria,['bavaria'],['bavaria'],['bavar']
bawdi,['bawdy'],['bawdi'],['bawdy']
beaker,['beakers'],['beaker'],['beak']
bearden,['bearden'],['bearden'],['beard']
beardown,['beardown'],['beardown'],['beardown']
beat,['beating'],['beat'],['beat']
beauti,['beautys'],['beauti'],['beauty']
beautifi,['beautify'],['beautifi'],['beaut']
beaux,['beaux'],['beaux'],['beaux']
becomin,['becomin'],['becomin'],['becomin']
bede,['bede'],['bede'],['bed']
bedsid,['bedside'],['bedsid'],['bedsid']
beecher,['beecher'],['beecher'],['beech']
beethoven,['beethoven'],['beethoven'],['beethov']
beetl,['beetles'],['beetl'],['beetl']
befoh,['befoh'],['befoh'],['befoh']
befuddl,['befuddles'],['befuddl'],['befuddl']
behahn,['behahn'],['behahn'],['behahn']
behynd,['behynde'],['behynd'],['behynd']
belfri,['belfry'],['belfri'],['belfry']
belief,['belief'],['belief'],['believ']
believ,['believers'],['believ'],['believ']
belli,['belly'],['belli'],['bel']
belong,['belongs'],['belong'],['belong']
belveder,['belvedere'],['belveder'],['belv']
bench,['benches'],['bench'],['bench']
benchmark,['benchmarks'],['benchmark'],['benchmark']
beneficiari,['beneficiary'],['beneficiari'],['beneficy']
bennington,['bennington'],['bennington'],['bennington']
bereav,['bereavements'],['bereav'],['bereav']
berger,['bergers'],['berger'],['berg']
berl,['berle'],['berl'],['berl']
berlin,"['berlins', 'berliners']","['berlin', 'berlin']","['berlin', 'berlin']"
bernardo,['bernardo'],['bernardo'],['bernardo']
bernhardt,['bernhardt'],['bernhardt'],['bernhardt']
berniec,['berniece'],['berniec'],['berniec']
berrellez,['berrellez'],['berrellez'],['berrellez']
bert,['bert'],['bert'],['bert']
bertha,['bertha'],['bertha'],['berth']
bertrand,['bertrand'],['bertrand'],['bertrand']
beryl,['beryl'],['beryl'],['beryl']
bess,['bess'],['bess'],['bess']
bester,['bester'],['bester'],['best']
better,['bettering'],['better'],['bet']
bevel,['bevels'],['bevel'],['bevel']
bewitch,['bewitched'],['bewitch'],['bewitch']
bibl,['bible'],['bibl'],['bibl']
biblic,['biblically'],['biblic'],['bibl']
bicker,['bickering'],['bicker'],['bick']
bidder,['bidder'],['bidder'],['bid']
binder,['binders'],['binder'],['bind']
bindl,['bindle'],['bindl'],['bindl']
binuclear,['binuclear'],['binuclear'],['binuclear']
bio,['bio'],['bio'],['bio']
biochem,['biochemical'],['biochem'],['biochem']
biolog,['biological'],['biolog'],['biolog']
biplan,['biplane'],['biplan'],['bipl']
birch,['birch'],['birch'],['birch']
birdi,['birdied'],['birdi'],['birdy']
birthcontrol,['birthcontrol'],['birthcontrol'],['birthcontrol']
birthright,['birthright'],['birthright'],['birthright']
bishop,['bishop'],['bishop'],['bishop']
biwa,['biwa'],['biwa'],['biw']
bix,['bix'],['bix'],['bix']
biz,['biz'],['biz'],['biz']
blackboard,['blackboard'],['blackboard'],['blackboard']
blackmail,['blackmailer'],['blackmail'],['blackmail']
blackston,['blackstone'],['blackston'],['blackston']
blanch,['blanched'],['blanch'],['blanch']
blanket,['blanket'],['blanket'],['blanket']
blasphemi,['blasphemy'],['blasphemi'],['blasphemy']
blaze,['blazed'],['blaze'],['blaz']
blazon,['blazon'],['blazon'],['blazon']
bleach,['bleaching'],['bleach'],['bleach']
blemish,['blemishes'],['blemish'],['blem']
blight,['blighted'],['blight'],['blight']
blind,"['blind', 'blindness']","['blind', 'blind']","['blind', 'blind']"
bliss,['blissful'],['bliss'],['bliss']
blizzard,['blizzards'],['blizzard'],['blizzard']
bloat,['bloated'],['bloat'],['blo']
bloch,['bloch'],['bloch'],['bloch']
block,['block'],['block'],['block']
blomdahl,['blomdahl'],['blomdahl'],['blomdahl']
bloodlust,['bloodlust'],['bloodlust'],['bloodlust']
bloomfield,['bloomfield'],['bloomfield'],['bloomfield']
blossom,['blossom'],['blossom'],['blossom']
blot,['blotted'],['blot'],['blot']
blow,"['blowing', 'blow']","['blow', 'blow']","['blow', 'blow']"
blowfish,['blowfish'],['blowfish'],['blowf']
bluish,['bluish'],['bluish'],['blu']
blunder,['blunders'],['blunder'],['blund']
blunt,['blunts'],['blunt'],['blunt']
blurri,['blurry'],['blurri'],['blurry']
blush,['blushes'],['blush'],['blush']
blvd,['blvd'],['blvd'],['blvd']
bob,['bobbed'],['bob'],['bob']
bockwurst,['bockwurst'],['bockwurst'],['bockwurst']
bodi,['body'],['bodi'],['body']
bodyweight,['bodyweight'],['bodyweight'],['bodyweight']
bog,['bogged'],['bog'],['bog']
bogus,['bogus'],['bogu'],['bog']
boi,['boies'],['boi'],['boi']
boil,"['boiling', 'boil']","['boil', 'boil']","['boil', 'boil']"
bolet,['bolet'],['bolet'],['bolet']
bolshevik,['bolsheviks'],['bolshevik'],['bolshevik']
bond,"['bonded', 'bond']","['bond', 'bond']","['bond', 'bond']"
bonheur,['bonheur'],['bonheur'],['bonh']
bonni,['bonnie'],['bonni'],['bonny']
bontempo,['bontempo'],['bontempo'],['bontempo']
booklet,['booklets'],['booklet'],['booklet']
bookshelf,['bookshelf'],['bookshelf'],['bookshelf']
boonton,['boonton'],['boonton'],['boonton']
boost,['boosting'],['boost'],['boost']
boot,['boots'],['boot'],['boot']
bordeau,['bordeau'],['bordeau'],['bordeau']
border,['border'],['border'],['bord']
bordner,['bordner'],['bordner'],['bordn']
borrow,['borrowing'],['borrow'],['borrow']
bossman,['bossman'],['bossman'],['bossm']
bottega,['bottega'],['bottega'],['botteg']
botulin,['botulinal'],['botulin'],['botulin']
boundari,['boundary'],['boundari'],['bound']
bourgeoisi,['bourgeoisie'],['bourgeoisi'],['bourgeoisy']
bourn,['bourn'],['bourn'],['bourn']
bow,"['bowed', 'bows']","['bow', 'bow']","['bow', 'bow']"
bowden,['bowden'],['bowden'],['bowd']
bowdoin,['bowdoin'],['bowdoin'],['bowdoin']
boxford,['boxford'],['boxford'],['boxford']
boxi,['boxy'],['boxi'],['boxy']
boxwood,['boxwood'],['boxwood'],['boxwood']
boyar,['boyars'],['boyar'],['boy']
boyd,['boyd'],['boyd'],['boyd']
boyhood,['boyhood'],['boyhood'],['boy']
boyish,['boyish'],['boyish'],['boy']
bradykinin,['bradykinin'],['bradykinin'],['bradykinin']
brain,['brained'],['brain'],['brain']
brassbound,['brassbounds'],['brassbound'],['brassbound']
braver,['braver'],['braver'],['brav']
break,['break'],['break'],['break']
breaker,['breaker'],['breaker'],['break']
breezi,['breezy'],['breezi'],['breezy']
brendan,['brendan'],['brendan'],['brend']
brest,['brest'],['brest'],['brest']
bridg,['bridges'],['bridg'],['bridg']
bridgewat,['bridgewater'],['bridgewat'],['bridgew']
briefer,['briefer'],['briefer'],['brief']
briefli,['briefly'],['briefli'],['brief']
brighten,['brightens'],['brighten'],['bright']
bristol,['bristol'],['bristol'],['bristol']
britain,['britain'],['britain'],['britain']
britann,['britannic'],['britann'],['britan']
briton,['britons'],['briton'],['briton']
britten,['britten'],['britten'],['brit']
broker,['broker'],['broker'],['brok']
bronchiolar,['bronchiolar'],['bronchiolar'],['bronchiol']
brood,['broods'],['brood'],['brood']
brookmey,['brookmeyers'],['brookmey'],['brookmey']
brown,['browns'],['brown'],['brown']
brownish,['brownish'],['brownish'],['brown']
bruis,['bruised'],['bruis'],['bru']
bruit,['bruited'],['bruit'],['bruit']
brushlik,['brushlike'],['brushlik'],['brushlik']
bryson,['bryson'],['bryson'],['bryson']
bt,['bt'],['bt'],['bt']
buc,['bucs'],['buc'],['buc']
buccol,['buccolic'],['buccol'],['buccol']
buckley,['buckley'],['buckley'],['buckley']
buddhist,['buddhist'],['buddhist'],['buddh']
budget,['budgets'],['budget'],['budget']
bugey,['bugeyed'],['bugey'],['bugey']
bugger,['buggers'],['bugger'],['bug']
bugl,['bugle'],['bugl'],['bugl']
buildin,['buildin'],['buildin'],['buildin']
buildup,['buildup'],['buildup'],['buildup']
bulb,['bulb'],['bulb'],['bulb']
bulkhead,['bulkheads'],['bulkhead'],['bulkhead']
bulki,['bulky'],['bulki'],['bulky']
bulli,['bullying'],['bulli'],['bul']
bum,['bumming'],['bum'],['bum']
bureaucrat,['bureaucrats'],['bureaucrat'],['bureaucr']
burk,['burkes'],['burk'],['burk']
burman,['burman'],['burman'],['burm']
burmes,['burmese'],['burmes'],['burmes']
burn,['burning'],['burn'],['burn']
burton,['burton'],['burton'],['burton']
buster,['buster'],['buster'],['bust']
bustl,"['bustle', 'bustling']","['bustl', 'bustl']","['bustl', 'bustl']"
but,['butted'],['but'],['but']
butcher,['butcher'],['butcher'],['butch']
butteri,['buttery'],['butteri'],['buttery']
button,['buttons'],['button'],['button']
buttress,['buttresses'],['buttress'],['buttress']
buy,['buy'],['buy'],['buy']
buzz,['buzzs'],['buzz'],['buzz']
byer,['byer'],['byer'],['byer']
bylot,['bylot'],['bylot'],['bylot']
bypass,['bypassed'],['bypass'],['bypass']
cab,['cab'],['cab'],['cab']
cabinet,['cabinet'],['cabinet'],['cabinet']
cadillac,['cadillacs'],['cadillac'],['cadillac']
cadr,['cadre'],['cadr'],['cadr']
cafe,['cafes'],['cafe'],['caf']
cage,['cages'],['cage'],['cag']
cairoli,['cairoli'],['cairoli'],['cairol']
caldwel,['caldwells'],['caldwel'],['caldwel']
caleb,['caleb'],['caleb'],['caleb']
calif,['calif'],['calif'],['cal']
californian,['californians'],['californian'],['californ']
call,['called'],['call'],['cal']
callabl,['callable'],['callabl'],['cal']
calligraphi,['calligraphy'],['calligraphi'],['calligraph']
calorimetr,['calorimetric'],['calorimetr'],['calorimet']
calud,['calude'],['calud'],['calud']
calvari,['calvary'],['calvari'],['calv']
cambridg,['cambridge'],['cambridg'],['cambridg']
camp,"['camped', 'camps']","['camp', 'camp']","['camp', 'camp']"
campaign,['campaigners'],['campaign'],['campaign']
campground,"['campground', 'campgrounds']","['campground', 'campground']","['campground', 'campground']"
campobello,['campobello'],['campobello'],['campobello']
campsit,['campsites'],['campsit'],['campsit']
campus,['campus'],['campu'],['camp']
cancel,['cancellation'],['cancel'],['cancel']
candid,['candide'],['candid'],['candid']
candlewick,['candlewick'],['candlewick'],['candlewick']
canneri,"['canneries', 'cannery']","['canneri', 'canneri']","['cannery', 'cannery']"
canon,['canons'],['canon'],['canon']
canva,['canvas'],['canva'],['canva']
canvass,['canvassing'],['canvass'],['canvass']
caper,"['capering', 'capers']","['caper', 'caper']","['cap', 'cap']"
capistrano,['capistrano'],['capistrano'],['capistrano']
capit,"['capitalize', 'capitalizing']","['capit', 'capit']","['capit', 'capit']"
capitalist,['capitalists'],['capitalist'],['capit']
caramel,['caramel'],['caramel'],['caramel']
carcass,['carcass'],['carcass'],['carcass']
cardboard,['cardboard'],['cardboard'],['cardboard']
cardiac,['cardiac'],['cardiac'],['cardiac']
care,"['caring', 'cares', 'carefulness']","['care', 'care', 'care']","['car', 'car', 'car']"
carefre,['carefree'],['carefre'],['carefr']
caress,['caress'],['caress'],['caress']
caricatur,['caricature'],['caricatur'],['car']
carleton,['carletons'],['carleton'],['carleton']
carload,['carloading'],['carload'],['carload']
carlson,['carlson'],['carlson'],['carlson']
carolin,['caroline'],['carolin'],['carolin']
carpet,['carpeted'],['carpet'],['carpet']
carti,['carty'],['carti'],['carty']
carv,['carvings'],['carv'],['carv']
cascad,['cascade'],['cascad'],['cascad']
casino,['casinos'],['casino'],['casino']
castanet,['castanets'],['castanet'],['castanet']
castig,['castigated'],['castig'],['castig']
castl,['castle'],['castl'],['castl']
cataton,['catatonic'],['cataton'],['cataton']
catch,['catching'],['catch'],['catch']
catech,['catechism'],['catech'],['catech']
cathol,['catholics'],['cathol'],['cathol']
catinari,['catinari'],['catinari'],['catinar']
causat,['causative'],['caus'],['caus']
cave,['caving'],['cave'],['cav']
caveat,['caveat'],['caveat'],['cav']
cayenn,['cayenne'],['cayenn'],['cayen']
ceaseless,['ceaseless'],['ceaseless'],['ceaseless']
ceil,['ceil'],['ceil'],['ceil']
celeb,['celebes'],['celeb'],['celeb']
celebr,['celebrates'],['celebr'],['celebr']
cell,['cells'],['cell'],['cel']
cellar,['cellar'],['cellar'],['cell']
cellist,['cellist'],['cellist'],['cel']
cement,"['cemented', 'cement']","['cement', 'cement']","['cem', 'cem']"
censur,['censured'],['censur'],['cens']
central,"['central', 'centrals']","['central', 'central']","['cent', 'cent']"
centum,['centum'],['centum'],['cent']
certifi,['certifying'],['certifi'],['cert']
cervetto,['cervetto'],['cervetto'],['cervetto']
cest,['cest'],['cest'],['cest']
cestr,['cestre'],['cestr'],['cest']
chais,['chaise'],['chais'],['cha']
chalon,['chalon'],['chalon'],['chalon']
chamfer,['chamfer'],['chamfer'],['chamf']
chamoi,['chamois'],['chamoi'],['chamo']
champagn,['champagne'],['champagn'],['champagn']
chan,['channing'],['chan'],['chan']
chanceri,['chancery'],['chanceri'],['chancery']
chandeli,['chandeliers'],['chandeli'],['chand']
chandell,['chandelle'],['chandel'],['chandel']
channel,['channeled'],['channel'],['channel']
chanson,['chansons'],['chanson'],['chanson']
chanter,['chanter'],['chanter'],['chant']
chaplain,['chaplain'],['chaplain'],['chaplain']
chapter,['chapter'],['chapter'],['chapt']
char,"['charred', 'char']","['char', 'char']","['char', 'char']"
charit,['charitably'],['charit'],['charit']
charless,['charless'],['charless'],['charless']
charley,['charleys'],['charley'],['charley']
chase,['chase'],['chase'],['chas']
chat,['chatted'],['chat'],['chat']
chauffeur,['chauffeured'],['chauffeur'],['chauff']
chauncey,['chauncey'],['chauncey'],['chauncey']
che,['che'],['che'],['che']
check,['checking'],['check'],['check']
cheer,"['cheer', 'cheerfulness']","['cheer', 'cheer']","['che', 'che']"
